machine_name,status,type,issues_source
ab_paragraphs,active,module,gitlab
ahrefs,active,module,drupal.org
ai_provider_stackit,active,module,gitlab
browser_warning_block,active,module,drupal.org
chameleon,inactive,theme,drupal.org
ckeditor_bs_tooltip,active,module,drupal.org
cloudflare_email,active,module,drupal.org
cm_commerce,active,module,drupal.org
codepen,active,module,drupal.org
consent_mode,active,module,drupal.org
cookie_consent_notice,active,module,drupal.org
cookiebot_gtm,active,module,drupal.org
copilot,active,module,drupal.org
country,active,module,drupal.org
data_hover_filter,active,module,drupal.org
digitalworkplace,inactive,module,gitlab
digitalworkspace,inactive,module,gitlab
drush_async_api,inactive,module,gitlab
dynamic_layouts,active,module,drupal.org
entity_lifecycle,active,module,drupal.org
event_log,inactive,module,drupal.org
flags,active,module,drupal.org
flightcontrol,inactive,module,drupal.org
flood_control,active,module,gitlab
flood_unblock,active,module,gitlab
fortytwo,active,theme,gitlab
fortytwo_admin,inactive,theme,gitlab
fortytwo_admin_toolbar,active,module,gitlab
githubwidget,inactive,module,drupal.org
i18n_node_reference,inactive,module,drupal.org
inline_ajax_search,inactive,module,drupal.org
just_redirect,inactive,module,drupal.org
link_description_attributes,active,module,drupal.org
login_disable,active,module,gitlab
matomo_onpage_metrics,inactive,module,drupal.org
matomo_reporting_api,active,module,gitlab
media_entity_unsplash,active,module,gitlab
menu_normalizer,active,module,drupal.org
message_pusher,active,module,drupal.org
migrate_devel,active,module,drupal.org
migrate_child_entity_generate,active,module,gitlab
mollie_donations,active,module,drupal.org
mom,active,module,drupal.org
mongodb,active,module,drupal.org
o365,active,module,gitlab
o365_fullcalendar,active,module,gitlab
openid_connect_windows_aad,active,module,gitlab
path_file,active,module,drupal.org
pgsql_fallback,active,module,drupal.org
pops,active,module,drupal.org
private_content,active,module,drupal.org
pusher_api,active,module,gitlab
replicate_paragraphs,inactive,module,drupal.org
responsive_image_batch,active,module,gitlab
rest_absolute_urls,active,module,drupal.org
rest_menu_items,active,module,gitlab
rest_menu_tree,active,module,drupal.org
sanitize,inactive,module,drupal.org
screenshot_api,inactive,module,drupal.org
sdc_component_library,active,module,gitlab
search_api_fast,active,module,gitlab
searchcloud_block,inactive,module,drupal.org
show_inaccessible_menu_link,active,module,drupal.org
social_feed_field,inactive,module,gitlab
spotler,active,module,drupal.org
sqlsrv,active,module,drupal.org
swoole,active,module,drupal.org
token_insert,inactive,module,drupal.org
tracker,active,module,drupal.org
tripolis,inactive,module,gitlab
twitter_import,inactive,module,drupal.org
uc_buckaroo,active,module,drupal.org
unsplash,active,module,drupal.org
urskool,active,module,gitlab
webform_analysis,active,module,drupal.org
